Tube,isInflow,duration[s],difference[mm],rate[mm/s],duty
1,True,47.409544944763184,331.8,6.998590692793611,10
1,False,39.78532814979553,-303.8,-7.635980752908816,10
1,True,42.939107179641724,299.00000000000006,6.963349255239332,10
1,False,39.32242512702942,-307.1,-7.809792987282106,10
1,True,42.826372146606445,307.5,7.1801552311585715,10
1,False,40.2191801071167,-311.70000000000005,-7.750033669752641,10
1,True,43.40839600563049,307.4,7.081579332259298,10
1,False,39.322932958602905,-306.4,-7.791890811465199,10
1,True,42.89075422286987,304.6,7.101763667228393,10
1,False,40.20951724052429,-313.5,-7.796661624279483,10
2,True,39.430696964263916,320.79999999999995,8.135793295531686,10
2,False,39.32505393028259,-311.7,-7.926244692571744,10
2,True,39.419272899627686,320.59999999999997,8.133077462294542,10
2,False,40.111284255981445,-320.9,-8.000242474214646,10
2,True,39.663938999176025,321.6,8.108120577905309,10
2,False,39.38621187210083,-312.8,-7.941865570006022,10
2,True,39.362744092941284,315.2,8.007571810943007,10
2,False,40.09665489196777,-315.9,-7.878462700969142,10
2,True,39.65560007095337,316.4,7.978696563256755,10
2,False,39.57660794258118,-315.59999999999997,-7.974407520166484,10
1,True,42.83153319358826,334.80000000000007,7.816670920622532,20
1,False,35.649163007736206,-306.70000000000005,-8.603287542359501,20
1,True,40.09630584716797,312.0,7.7812654659316145,20
1,False,36.01538705825806,-318.9,-8.854548737298066,20
1,True,39.58718395233154,311.69999999999993,7.873760365863102,20
1,False,35.92272400856018,-312.29999999999995,-8.693661425163098,20
1,True,42.683358907699585,331.20000000000005,7.759464308237827,20
1,False,40.08993220329285,-351.80000000000007,-8.775270514703053,20
1,True,43.91666793823242,345.6,7.869449487517516,20
1,False,36.60401105880737,-324.3,-8.85968478916109,20
2,True,35.98069977760315,321.09999999999997,8.924228877835072,20
2,False,35.74379897117615,-313.19999999999993,-8.762359038908116,20
2,True,35.79915690422058,318.19999999999993,8.888477481504191,20
2,False,35.48353409767151,-308.59999999999997,-8.696991656765407,20
2,True,35.97017693519592,319.2,8.874018067107997,20
2,False,36.47237825393677,-318.5,-8.73263590826084,20
2,True,36.17910313606262,317.70000000000005,8.781312206806003,20
2,False,35.84088611602783,-314.70000000000005,-8.780474873897386,20
2,True,35.82173275947571,316.1,8.824252085247998,20
2,False,35.798746824264526,-313.0,-8.74332281899453,20
1,True,43.224249839782715,352.00000000000006,8.143576841813145,30
1,False,36.22895693778992,-329.30000000000007,-9.089414320303323,30
1,True,39.60895085334778,319.4,8.06383388397686,30
1,False,35.72587180137634,-325.49999999999994,-9.111044282128898,30
1,True,39.29398822784424,320.40000000000003,8.153919071339274,30
1,False,35.540822982788086,-326.40000000000003,-9.183805342888961,30
1,True,40.21835398674011,326.09999999999997,8.10823834579392,30
1,False,35.955119132995605,-326.29999999999995,-9.075202860350368,30
1,True,43.14703297615051,346.5,8.030679657429229,30
1,False,35.815999031066895,-333.5,-9.311481154294237,30
2,True,36.46813368797302,330.9,9.073675193560257,30
2,False,36.12807607650757,-325.9,-9.020685167675392,30
2,True,35.929023027420044,327.9,9.126326639879846,30
2,False,35.79007577896118,-322.29999999999995,-9.005289678359961,30
2,True,32.804938077926636,297.4,9.065708317861775,30
2,False,32.53043603897095,-294.3,-9.046912240814518,30
2,True,32.35909628868103,299.00000000000006,9.240060270304522,30
2,False,35.726930141448975,-322.90000000000003,-9.038000150631028,30
2,True,35.571372747421265,323.90000000000003,9.105636779887305,30
2,False,32.97020697593689,-292.30000000000007,-8.865579770649711,30
1,True,39.828983783721924,331.7,8.3281060295484,40
1,False,35.70641207695007,-335.2,-9.387669622969065,40
1,True,43.26445198059082,361.8,8.362523583155745,40
1,False,36.29225301742554,-341.6,-9.412477088043627,40
1,True,39.451056241989136,325.70000000000005,8.255799236456086,40
1,False,35.69069695472717,-335.90000000000003,-9.411416101682784,40
1,True,39.27122521400452,328.90000000000003,8.375088839415964,40
1,False,33.10341286659241,-312.80000000000007,-9.44917677402605,40
1,True,39.94558095932007,331.5,8.298790305180296,40
1,False,36.216845750808716,-342.2,-9.44864172751319,40
2,True,32.22097110748291,299.59999999999997,9.2982920657665,40
2,False,32.1637499332428,-295.99999999999994,-9.202907018440333,40
2,True,32.81524896621704,302.90000000000003,9.230464785192776,40
2,False,32.718340158462524,-304.50000000000006,-9.306706835531259,40
2,True,32.27741312980652,299.90000000000003,9.291326996805017,40
2,False,32.204998254776,-295.3,-9.169384132980259,40
2,True,32.257588148117065,296.99999999999994,9.207135965536729,40
2,False,32.3774049282074,-295.79999999999995,-9.136000882587632,40
2,True,32.77811288833618,304.5,9.289735532894385,40
2,False,36.52800893783569,-339.4,-9.291500135624682,40
1,True,39.30689311027527,331.8,8.44126751684843,50
1,False,35.73126578330994,-343.20000000000005,-9.605033364373805,50
1,True,40.22364020347595,346.5,8.614337196911805,50
1,False,32.411996841430664,-314.09999999999997,-9.690856183180339,50
1,True,39.279167890548706,334.8,8.523602153001796,50
1,False,35.659430742263794,-346.5,-9.716924605566568,50
1,True,39.30506420135498,332.29999999999995,8.454381305616705,50
1,False,36.237499952316284,-349.9,-9.655743372484904,50
1,True,43.02301383018494,365.20000000000005,8.488480175783868,50
1,False,35.78780221939087,-347.20000000000005,-9.701629562820067,50
2,True,39.616169929504395,371.99999999999994,9.390105117732508,50
2,False,36.33476400375366,-339.29999999999995,-9.338164408194523,50
2,True,36.1525559425354,339.29999999999995,9.385228544817643,50
2,False,35.87214779853821,-335.09999999999997,-9.341509236691294,50
2,True,35.84993100166321,333.8,9.311036051492367,50
2,False,35.740652084350586,-334.7,-9.364686441928457,50
2,True,35.76224398612976,331.40000000000003,9.26675630669407,50
2,False,36.54426288604736,-340.20000000000005,-9.309258776427223,50
2,True,36.51891613006592,342.20000000000005,9.370486209974555,50
2,False,35.99597215652466,-338.1,-9.392717566560172,50
1,True,39.37668490409851,342.6,8.700580072558129,60
1,False,32.75101399421692,-322.8,-9.856183385863995,60
1,True,39.68625807762146,344.00000000000006,8.667987778721244,60
1,False,35.859779834747314,-353.40000000000003,-9.855052139990091,60
1,True,40.00523900985718,345.99999999999994,8.648867212485507,60
1,False,35.938328981399536,-353.29999999999995,-9.830729753263043,60
1,True,39.13046216964722,339.6,8.678660592550361,60
1,False,32.774986028671265,-321.8,-9.818463376871991,60
1,True,39.987096071243286,344.09999999999997,8.605276046725969,60
1,False,35.81363272666931,-352.79999999999995,-9.850997319724023,60
2,True,35.72200679779053,338.99999999999994,9.489948364854119,60
2,False,32.34636902809143,-305.99999999999994,-9.460103535399973,60
2,True,32.6450629234314,309.09999999999997,9.468506791516694,60
2,False,32.337708950042725,-306.29999999999995,-9.47191405777048,60
2,True,32.28548622131348,299.69999999999993,9.282808936052232,60
2,False,32.219738721847534,-303.9,-9.432106281915058,60
2,True,32.149187088012695,305.6,9.505683585820668,60
2,False,32.663612365722656,-313.5,-9.597836163675158,60
2,True,32.698610067367554,311.29999999999995,9.520282341012106,60
2,False,32.376384019851685,-304.79999999999995,-9.414269357971255,60
1,True,39.15640425682068,343.6,8.775065191031889,70
1,False,32.90082001686096,-326.00000000000006,-9.908567623327688,70
1,True,39.98438596725464,348.7,8.720904212098421,70
1,False,35.88254404067993,-359.4,-10.0160122312551,70
1,True,39.292896032333374,345.9,8.80311799149051,70
1,False,32.73342299461365,-326.5,-9.974514429906284,70
1,True,36.39307904243469,318.80000000000007,8.759907333706941,70
1,False,32.146392822265625,-322.00000000000006,-10.016675954291596,70
1,True,39.323352098464966,343.00000000000006,8.722552419771699,70
1,False,35.56782579421997,-357.20000000000005,-10.042784230517897,70
2,True,32.737389087677,310.70000000000005,9.490677438200276,70
2,False,32.871339082717896,-313.30000000000007,-9.531099393657422,70
2,True,32.67271304130554,309.9,9.484979089683119,70
2,False,32.66435098648071,-310.4,-9.50271444635376,70
2,True,35.77589726448059,339.6,9.492424396499073,70
2,False,32.82261300086975,-319.9,-9.746329458642524,70
2,True,32.75244188308716,312.79999999999995,9.550432945322617,70
2,False,32.15406370162964,-310.9,-9.669073336576206,70
2,True,32.17993378639221,307.20000000000005,9.546321693486652,70
2,False,32.92118191719055,-320.40000000000003,-9.73233588046533,70
1,True,39.527880907058716,352.90000000000003,8.927875512218028,80
1,False,32.207587242126465,-322.90000000000003,-10.02558799491995,80
1,True,40.052045822143555,354.00000000000006,8.83849982525198,80
1,False,36.09469175338745,-363.00000000000006,-10.056880454338078,80
1,True,39.46597766876221,345.59999999999997,8.756909632408435,80
1,False,32.2426917552948,-324.4,-10.06119471854356,80
1,True,36.15501117706299,320.4,8.861842095163398,80
1,False,32.72926998138428,-329.69999999999993,-10.073551905909493,80
1,True,39.56737995147705,346.5,8.757213654907801,80
1,False,35.73448300361633,-359.70000000000005,-10.065907486715238,80
2,True,35.763875007629395,340.49999999999994,9.520780394388531,80
2,False,32.239591121673584,-309.59999999999997,-9.603099457172284,80
2,True,32.94251799583435,312.7,9.49229199903728,80
2,False,32.69598174095154,-318.2,-9.73208275319827,80
2,True,32.514394998550415,307.3,9.451198461902807,80
2,False,32.42565298080444,-313.3,-9.662103032604138,80
2,True,32.390905141830444,309.8,9.564413178436201,80
2,False,32.186423778533936,-314.6,-9.774307396331988,80
2,True,32.34659290313721,308.9,9.54969201625067,80
2,False,33.05806589126587,-320.99999999999994,-9.710186949709298,80
1,True,36.5704391002655,321.7,8.796722377819751,90
1,False,32.51328992843628,-329.0,-10.118939077655597,90
1,True,39.58563017845154,351.6,8.882010932123388,90
1,False,35.75966787338257,-363.9,-10.176269010341288,90
1,True,39.706018924713135,352.1,8.86767320258471,90
1,False,32.80117201805115,-331.1,-10.09415150829943,90
1,True,35.74673891067505,317.4,8.87913162633179,90
1,False,32.29577398300171,-324.3,-10.04156148017042,90
1,True,39.66361689567566,347.8,8.768741411424813,90
1,False,32.809953689575195,-334.8,-10.204220437725793,90
2,True,35.984546184539795,346.90000000000003,9.64024940653664,90
2,False,32.19089913368225,-310.90000000000003,-9.658009200330056,90
2,True,32.143425941467285,307.99999999999994,9.582052658632701,90
2,False,32.877901792526245,-318.59999999999997,-9.690399405974977,90
2,True,32.66949391365051,314.90000000000003,9.638961681877271,90
2,False,32.30311703681946,-313.40000000000003,-9.701850123094411,90
2,True,32.3515989780426,312.3,9.653309569395985,90
2,False,32.425901889801025,-315.3,-9.723707950253555,90
2,True,35.77501177787781,345.50000000000006,9.657578930935443,90
2,False,32.211597204208374,-315.80000000000007,-9.80392241955458,90
1,True,39.11281776428223,348.59999999999997,8.91267926798005,100
1,False,33.0216178894043,-339.59999999999997,-10.284172057752748,100
1,True,36.36392307281494,326.7,8.98417916421772,100
1,False,32.41458487510681,-329.3,-10.159007165101475,100
1,True,39.4055552482605,349.59999999999997,8.871845550645618,100
1,False,35.776992082595825,-365.19999999999993,-10.207677581080276,100
1,True,39.512107849121094,351.4,8.89347643365011,100
1,False,32.79791212081909,-336.8,-10.268946351198066,100
1,True,36.12094688415527,324.90000000000003,8.994780813526233,100
1,False,32.29122495651245,-331.1,-10.253559610881972,100
2,True,32.207382917404175,313.29999999999995,9.727583293664615,100
2,False,32.23414897918701,-318.59999999999997,-9.883927762625719,100
2,True,32.26852488517761,312.59999999999997,9.687458633833964,100
2,False,32.28466725349426,-314.29999999999995,-9.735271469027836,100
2,True,32.16432070732117,311.1,9.672207998137146,100
2,False,32.67205190658569,-320.20000000000005,-9.800425174259026,100
2,True,32.717714071273804,317.0,9.688940960527754,100
2,False,32.630380153656006,-318.2,-9.751648571104615,100
2,True,32.79733490943909,318.00000000000006,9.69590977065882,100
2,False,32.46264171600342,-316.80000000000007,-9.758910034848586,100

