time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int,water_depth_stream1_reported,water_depth_stream1_true,nn_active
2019-09-05 00:00,0.0,0.0,0.2499999999999999,0,210,256,0.019991999999999992,0.0,0.0,0
2019-09-05 00:30,0.08090259713898872,0.14193773101807777,1.75,0.0,210,256,0.019991999999999992,0.1385501712044594,0.1385501712044594,0
2019-09-05 01:00,0.09348195381780362,0.14399697274544224,0.2499999999999999,0.0,156,190,0.019991999999999992,0.0880406325036172,0.0880406325036172,0
2019-09-05 01:30,0.0808441804702502,0.12275880096160079,0.2499999999999999,0.0,156,190,0.019991999999999992,0.06080602841615631,0.06080602841615631,0
2019-09-05 02:00,0.06185652125164992,0.09379398928580293,0.2499999999999999,0.0,102,124,0.019991999999999992,0.044869242709333505,0.044869242709333505,0
2019-09-05 02:30,0.04351011885570933,0.07090662371641265,0.2499999999999999,0.0,102,124,0.019991999999999992,0.03471576618818014,0.03471576618818014,0
2019-09-05 03:00,0.03377647796678895,0.05501685650127596,1.0,0.0,48,58,0.019991999999999992,0.027793242718828885,0.027793242718828885,0
2019-09-05 03:30,0.0258767210424734,0.04403070318609411,1.0,0.0,48,58,0.019991999999999992,0.022866905791200383,0.022866905791200383,0
2019-09-05 04:00,0.022283734357620016,0.03679763056473798,1.75,0.3090599999999999,0,0,0.01263913043478261,0.019219372776905087,0.019219372776905087,0
2019-09-05 04:30,0.0228878285442469,0.03566763724231071,1.75,0.29069999999999996,0,0,0.01263913043478261,0.016493577423535744,0.016493577423535744,0
2019-09-05 05:00,0.020650623069473212,0.032428213171201946,0.2499999999999999,0.0,31,37,0.0434608695652174,0.014416513399809714,0.014416513399809714,0
2019-09-05 05:30,0.02081176256174933,0.029324790831423496,0.2499999999999999,0.0,31,37,0.0434608695652174,0.012773297851690185,0.012773297851690185,0
2019-09-05 06:00,0.04227375595277886,0.039659550595998946,0.2499999999999999,0.9996000000000005,361,361,0.0,0.011576176482387028,0.011576176482387028,0
2019-09-05 06:30,0.05697165904489947,0.03885593390744359,0.2499999999999999,0.0,361,361,0.0,0.010834570517881866,0.010834570517881866,0
2019-09-05 07:00,0.0641652130706102,0.03732188261003095,0.2499999999999999,0.0,361,361,0.0,0.010375998858500138,0.010375998858500138,0
2019-09-05 07:30,0.068264929663068,0.03605920705937999,0.2499999999999999,0.0,361,361,0.0,0.010101702439709063,0.010101702439709063,0
2019-09-05 08:00,0.0706183797097308,0.03502654069583458,0.2499999999999999,0.0,361,361,0.0,0.009947457079222007,0.009947457079222007,0
2019-09-05 08:30,0.07184638779280084,0.034180601918506984,0.2499999999999999,0.0,361,361,0.0,0.009869373345342769,0.009869373345342769,0
2019-09-05 09:00,0.07229468931486031,0.033484186274446257,0.2499999999999999,0.0,361,361,0.0,0.00983743139483676,0.00983743139483676,0
2019-09-05 09:30,0.07217921090866775,0.03290611059669744,0.2499999999999999,0.0,361,361,0.0,0.009831462556334757,0.009831462556334757,0
2019-09-05 10:00,0.07164584863549497,0.032420650837876604,0.2499999999999999,0.0,361,361,0.0,0.009838238153261323,0.009838238153261323,0
2019-09-05 10:30,0.07079906622320296,0.032006859423950915,0.2499999999999999,0.0,361,361,0.0,0.009849345389943807,0.009849345389943807,0
2019-09-05 11:00,0.06971703895005786,0.031647884873784074,0.2499999999999999,0.0,361,361,0.0,0.00985965663801484,0.00985965663801484,0
2019-09-05 11:30,0.06846026996965979,0.03133033628194144,0.2499999999999999,0.0,361,361,0.0,0.009866243876755288,0.009866243876755288,0
2019-09-05 12:00,0.06707675655851703,0.03104370735544801,0.2499999999999999,0.0,361,361,0.0,0.009867620907459707,0.009867620907459707,0
2019-09-05 12:30,0.06560521410065447,0.030779864797770395,0.2499999999999999,0.0,361,361,0.0,0.009863222276010934,0.009863222276010934,0
2019-09-05 13:00,0.06407715686230223,0.030532601712425476,0.2499999999999999,0.0,361,361,0.0,0.009853050205010594,0.009853050205010594,0
2019-09-05 13:30,0.06251828736480758,0.030297254283156272,0.2499999999999999,0.0,361,361,0.0,0.009837438986792693,0.009837438986792693,0
2019-09-05 14:00,0.0609494636427732,0.030070378169322055,0.2499999999999999,0.0,361,361,0.0,0.009816900401492612,0.009816900401492612,0
2019-09-05 14:30,0.059387411104902484,0.02984947967121035,0.2499999999999999,0.0,361,361,0.0,0.009792024341415973,0.009792024341415973,0
2019-09-05 15:00,0.05784528399324916,0.029632795809529003,0.2499999999999999,0.0,361,361,0.0,0.009763416611419579,0.009763416611419579,0
2019-09-05 15:30,0.05633314168459853,0.029419117036360475,0.2499999999999999,0.0,361,361,0.0,0.009731661475907153,0.009731661475907153,0
2019-09-05 16:00,0.05485837801830564,0.02920764629480874,0.2499999999999999,0.0,361,361,0.0,0.009697300483989537,0.009697300483989537,0
2019-09-05 16:30,0.05342612295110873,0.02899788847135996,0.2499999999999999,0.0,361,361,0.0,0.009660821863545185,0.009660821863545185,0
2019-09-05 17:00,0.05203962295307296,0.028789564826163867,0.2499999999999999,0.0,361,361,0.0,0.009622656669436147,0.009622656669436147,0
2019-09-05 17:30,0.05070059852052864,0.02858254763988213,0.2499999999999999,0.0,361,361,0.0,0.00958317915395105,0.00958317915395105,0
2019-09-05 18:00,0.04940957315726987,0.028376811001038452,0.2499999999999999,0.0,361,361,0.0,0.00954270968518143,0.00954270968518143,0
2019-09-05 18:30,0.048166167309754655,0.028172394319138667,0.2499999999999999,0.0,361,361,0.0,0.009501519106866729,0.009501519106866729,0
