Tube,isInflow,duration[s],difference[mm],rate[mm/s],duty
1,True,39.30689311027527,331.8,8.44126751684843,50
1,False,35.73126578330994,-343.20000000000005,-9.605033364373805,50
1,True,40.22364020347595,346.5,8.614337196911805,50
1,False,32.411996841430664,-314.09999999999997,-9.690856183180339,50
1,True,39.279167890548706,334.8,8.523602153001796,50
1,False,35.659430742263794,-346.5,-9.716924605566568,50
1,True,39.30506420135498,332.29999999999995,8.454381305616705,50
1,False,36.237499952316284,-349.9,-9.655743372484904,50
1,True,43.02301383018494,365.20000000000005,8.488480175783868,50
1,False,35.78780221939087,-347.20000000000005,-9.701629562820067,50
2,True,39.616169929504395,371.99999999999994,9.390105117732508,50
2,False,36.33476400375366,-339.29999999999995,-9.338164408194523,50
2,True,36.1525559425354,339.29999999999995,9.385228544817643,50
2,False,35.87214779853821,-335.09999999999997,-9.341509236691294,50
2,True,35.84993100166321,333.8,9.311036051492367,50
2,False,35.740652084350586,-334.7,-9.364686441928457,50
2,True,35.76224398612976,331.40000000000003,9.26675630669407,50
2,False,36.54426288604736,-340.20000000000005,-9.309258776427223,50
2,True,36.51891613006592,342.20000000000005,9.370486209974555,50
2,False,35.99597215652466,-338.1,-9.392717566560172,50
1,True,39.37668490409851,342.6,8.700580072558129,60
1,False,32.75101399421692,-322.8,-9.856183385863995,60
1,True,39.68625807762146,344.00000000000006,8.667987778721244,60
1,False,35.859779834747314,-353.40000000000003,-9.855052139990091,60
1,True,40.00523900985718,345.99999999999994,8.648867212485507,60
1,False,35.938328981399536,-353.29999999999995,-9.830729753263043,60
1,True,39.13046216964722,339.6,8.678660592550361,60
1,False,32.774986028671265,-321.8,-9.818463376871991,60
1,True,39.987096071243286,344.09999999999997,8.605276046725969,60
1,False,35.81363272666931,-352.79999999999995,-9.850997319724023,60
2,True,35.72200679779053,338.99999999999994,9.489948364854119,60
2,False,32.34636902809143,-305.99999999999994,-9.460103535399973,60
2,True,32.6450629234314,309.09999999999997,9.468506791516694,60
2,False,32.337708950042725,-306.29999999999995,-9.47191405777048,60
2,True,32.28548622131348,299.69999999999993,9.282808936052232,60
2,False,32.219738721847534,-303.9,-9.432106281915058,60
2,True,32.149187088012695,305.6,9.505683585820668,60
2,False,32.663612365722656,-313.5,-9.597836163675158,60
2,True,32.698610067367554,311.29999999999995,9.520282341012106,60
2,False,32.376384019851685,-304.79999999999995,-9.414269357971255,60
1,True,39.15640425682068,343.6,8.775065191031889,70
1,False,32.90082001686096,-326.00000000000006,-9.908567623327688,70
1,True,39.98438596725464,348.7,8.720904212098421,70
1,False,35.88254404067993,-359.4,-10.0160122312551,70
1,True,39.292896032333374,345.9,8.80311799149051,70
1,False,32.73342299461365,-326.5,-9.974514429906284,70
1,True,36.39307904243469,318.80000000000007,8.759907333706941,70
1,False,32.146392822265625,-322.00000000000006,-10.016675954291596,70
1,True,39.323352098464966,343.00000000000006,8.722552419771699,70
1,False,35.56782579421997,-357.20000000000005,-10.042784230517897,70
2,True,32.737389087677,310.70000000000005,9.490677438200276,70
2,False,32.871339082717896,-313.30000000000007,-9.531099393657422,70
2,True,32.67271304130554,309.9,9.484979089683119,70
2,False,32.66435098648071,-310.4,-9.50271444635376,70
2,True,35.77589726448059,339.6,9.492424396499073,70
2,False,32.82261300086975,-319.9,-9.746329458642524,70
2,True,32.75244188308716,312.79999999999995,9.550432945322617,70
2,False,32.15406370162964,-310.9,-9.669073336576206,70
2,True,32.17993378639221,307.20000000000005,9.546321693486652,70
2,False,32.92118191719055,-320.40000000000003,-9.73233588046533,70
1,True,39.527880907058716,352.90000000000003,8.927875512218028,80
1,False,32.207587242126465,-322.90000000000003,-10.02558799491995,80
1,True,40.052045822143555,354.00000000000006,8.83849982525198,80
1,False,36.09469175338745,-363.00000000000006,-10.056880454338078,80
1,True,39.46597766876221,345.59999999999997,8.756909632408435,80
1,False,32.2426917552948,-324.4,-10.06119471854356,80
1,True,36.15501117706299,320.4,8.861842095163398,80
1,False,32.72926998138428,-329.69999999999993,-10.073551905909493,80
1,True,39.56737995147705,346.5,8.757213654907801,80
1,False,35.73448300361633,-359.70000000000005,-10.065907486715238,80
2,True,35.763875007629395,340.49999999999994,9.520780394388531,80
2,False,32.239591121673584,-309.59999999999997,-9.603099457172284,80
2,True,32.94251799583435,312.7,9.49229199903728,80
2,False,32.69598174095154,-318.2,-9.73208275319827,80
2,True,32.514394998550415,307.3,9.451198461902807,80
2,False,32.42565298080444,-313.3,-9.662103032604138,80
2,True,32.390905141830444,309.8,9.564413178436201,80
2,False,32.186423778533936,-314.6,-9.774307396331988,80
2,True,32.34659290313721,308.9,9.54969201625067,80
2,False,33.05806589126587,-320.99999999999994,-9.710186949709298,80
1,True,39.90672302246094,353.8,8.865674082055515,90
1,False,33.38647508621216,-329.7,-9.875256347027737,90
