Tube,isInflow,duration[s],difference[mm],rate[mm/s],duty
1,True,36.5704391002655,321.7,8.796722377819751,90
1,False,32.51328992843628,-329.0,-10.118939077655597,90
1,True,39.58563017845154,351.6,8.882010932123388,90
1,False,35.75966787338257,-363.9,-10.176269010341288,90
1,True,39.706018924713135,352.1,8.86767320258471,90
1,False,32.80117201805115,-331.1,-10.09415150829943,90
1,True,35.74673891067505,317.4,8.87913162633179,90
1,False,32.29577398300171,-324.3,-10.04156148017042,90
1,True,39.66361689567566,347.8,8.768741411424813,90
1,False,32.809953689575195,-334.8,-10.204220437725793,90
2,True,35.984546184539795,346.90000000000003,9.64024940653664,90
2,False,32.19089913368225,-310.90000000000003,-9.658009200330056,90
2,True,32.143425941467285,307.99999999999994,9.582052658632701,90
2,False,32.877901792526245,-318.59999999999997,-9.690399405974977,90
2,True,32.66949391365051,314.90000000000003,9.638961681877271,90
2,False,32.30311703681946,-313.40000000000003,-9.701850123094411,90
2,True,32.3515989780426,312.3,9.653309569395985,90
2,False,32.425901889801025,-315.3,-9.723707950253555,90
2,True,35.77501177787781,345.50000000000006,9.657578930935443,90
2,False,32.211597204208374,-315.80000000000007,-9.80392241955458,90
1,True,39.11281776428223,348.59999999999997,8.91267926798005,100
1,False,33.0216178894043,-339.59999999999997,-10.284172057752748,100
1,True,36.36392307281494,326.7,8.98417916421772,100
1,False,32.41458487510681,-329.3,-10.159007165101475,100
1,True,39.4055552482605,349.59999999999997,8.871845550645618,100
1,False,35.776992082595825,-365.19999999999993,-10.207677581080276,100
1,True,39.512107849121094,351.4,8.89347643365011,100
1,False,32.79791212081909,-336.8,-10.268946351198066,100
1,True,36.12094688415527,324.90000000000003,8.994780813526233,100
1,False,32.29122495651245,-331.1,-10.253559610881972,100
2,True,32.207382917404175,313.29999999999995,9.727583293664615,100
2,False,32.23414897918701,-318.59999999999997,-9.883927762625719,100
2,True,32.26852488517761,312.59999999999997,9.687458633833964,100
2,False,32.28466725349426,-314.29999999999995,-9.735271469027836,100
2,True,32.16432070732117,311.1,9.672207998137146,100
2,False,32.67205190658569,-320.20000000000005,-9.800425174259026,100
2,True,32.717714071273804,317.0,9.688940960527754,100
2,False,32.630380153656006,-318.2,-9.751648571104615,100
2,True,32.79733490943909,318.00000000000006,9.69590977065882,100
2,False,32.46264171600342,-316.80000000000007,-9.758910034848586,100
