#dryL,dryU,rainL,rainU,rain
210,256,27,33,0.01333
64,78,21,25,0.03478
1376,1682,49,61,0.02545
168,206,23,29,0.02308
203,249,208,254,0.00952
1440,1440,1440,1440,0
