0,720
10,720
20,719
30,720
40,720.5
50,719
60,719
70,720
80,719
90,720.5
100,720
110,720
120,718
130,718
140,719
150,719
160,719
170,719
180,717.5
190,719
200,717
210,718
220,717
230,717.5
240,715.5
250,716
260,716
270,715
280,715.5
290,715
300,715
310,714
320,714
330,714
340,714
350,714.5
360,713
370,715
380,714
390,713
400,713
410,712
420,713
430,713
440,713
450,712
460,713
470,712
480,711
490,711.5
500,712.5
510,711
520,712
530,711
540,711
550,712
560,711
570,710
580,710
590,711
600,710
610,710.5
620,709.5
630,709
640,709
650,708
660,708
670,707
680,707
690,707
700,707
710,707
720,704.5
730,706
740,705
750,707
760,706.5
770,706
780,705
790,704
800,706
810,706
820,706
830,706
840,706
850,704.5
860,702
870,705
880,705
890,705
901,704.5
910,704
920,703
931,704
941,703
951,703
961,703
971,703
981,702
991,703
1001,701
1011,699.5
1021,701
1031,702
1041,701
1051,698
1061,699
1071,700.5
1081,700
1091,700
1101,699
1111,699
1121,699.5
1131,699
1141,699
1151,696
1161,698
1171,698
1181,699
1191,699.5
1201,699
1211,698.5
1221,698
1231,699
1241,698
1251,697.5
1261,698.5
1271,697
1281,696
1291,696
1301,695
1311,696.5
1321,695
1331,695
1341,695
1351,695
1361,694.5
1371,694.5
1381,693.5
1391,693
1401,693
1411,694
1421,692
1431,694
1441,693
1451,691
1461,693
1471,691
1481,689
1491,691.5
1501,694
1511,695
1521,694.5
1531,693.5
1541,695
1551,694
1561,695
1571,698
1581,695.5
1591,698
1601,697.5
1611,699
1621,699.5
1631,700.5
1641,698.5
1651,699
1661,698
1671,696
1681,699
1691,702
1701,700.5
1711,702
1721,701.5
1731,701.5
1741,703.5
1751,705
1761,705.5
1771,704
1781,703.5
1791,705
1801,705
1811,706.5
1821,707.5
1831,707
1841,705
1851,705
1861,707
1871,708.5
1881,709
1891,706
1901,707
1911,708.5
1921,709
1931,712
1941,708.5
1951,711
1961,711
1971,711.5
1981,712.5
1991,712
2001,712.5
2011,713
2021,713
2031,712
2041,714
2051,713.5
2061,710.5
2071,712
2081,710
2091,713
2101,711.5
2111,713.5
2121,713.5
2131,710.5
2141,712
2151,712
2161,713
2171,713.5
2181,713.5
2191,713.5
2201,713.5
2211,713
2221,713.5
2231,712
2241,713.5
2251,713.5
2261,712
2271,712.5
2281,713.5
2291,713.5
2301,713
2311,713
2321,710
2331,713.5
2341,713.5
2351,713.5
2361,713
2371,713.5
2381,713
2391,712.5
2401,713
2411,713.5
2421,713
2431,713.5
2441,713
2451,712
2461,710.5
2472,713.5
2481,712
2491,713.5
2501,713
2511,710
2521,714
2531,714
2541,713.5
2551,713.5
2562,709.5
2572,712
2582,714
2592,713
2602,713
2612,713
2622,710
2632,712
2642,711.5
2652,713.5
