time,water_depth_basin1,water_depth_basin2,water_depth_steam1,water_depth_stream2,orifice_setting,rain,forecast_low,forecast_high,forecast_int
2019-09-05 00:00,0.0,0.0,0.0,0.0,3.0,0,361,361,0.0
2019-09-05 00:05,0.08877051102610338,0.06773296364299469,0.1978997250766656,0.199554879321464,3.0,0.0,361,361,0.0
2019-09-05 00:10,0.11982230054470566,0.09342866597597972,0.18796277328130104,0.19784664270559804,3.0,0.0,361,361,0.0
2019-09-05 00:15,0.13845843919609452,0.11142960385000028,0.17529980283187493,0.1937306232247579,3.0,0.0,361,361,0.0
2019-09-05 00:20,0.14374209410317446,0.12516392822384345,0.16230926221326858,0.18769883723977263,3.0,0.0,361,361,0.0
2019-09-05 00:25,0.1448902226602056,0.13586512424906508,0.14981746176805513,0.18035186691860797,3.0,0.0,361,361,0.0
2019-09-05 00:30,0.14485285102254014,0.14180456036358546,0.13818944589190987,0.17229098967020365,3.0,0.0,361,361,0.0
2019-09-05 00:35,0.14377047643858643,0.14421009300114862,0.12756861623569674,0.16392009531754223,3.0,0.0,361,361,0.0
2019-09-05 00:40,0.14085568877177435,0.1451564159874343,0.11797778363930354,0.15551381260819466,3.0,0.0,361,361,0.0
2019-09-05 00:45,0.13615223105764152,0.1453569305015447,0.10935766500339396,0.14727880002821775,3.0,0.0,361,361,0.0
2019-09-05 00:50,0.13010877310037883,0.1453165109934329,0.1016158833209424,0.13934661725989025,3.0,0.0,361,361,0.0
2019-09-05 00:55,0.1232557425346762,0.1449047625720174,0.09465375645273627,0.13180444678464326,3.0,0.0,361,361,0.0
2019-09-05 01:00,0.11605421005352755,0.14381611667265914,0.08837847227194165,0.12470001564221654,3.0,0.0,361,361,0.0
2019-09-05 01:05,0.10884950778822022,0.14192656915067747,0.08270734830401592,0.11804777458664,3.0,0.0,361,361,0.0
2019-09-05 01:10,0.10187405057813434,0.13924404214762964,0.07756838929372416,0.11184120263332514,3.0,0.0,361,361,0.0
2019-09-05 01:15,0.09526823175152925,0.1358575739905265,0.0728993869624719,0.10606155294873273,3.0,0.0,361,361,0.0
2019-09-05 01:20,0.08910459214889768,0.1318965368642247,0.0686466153016861,0.10068374229160548,3.0,0.0,361,361,0.0
2019-09-05 01:25,0.0834091884026071,0.12750258875082923,0.06476355272652459,0.09568010945850094,3.0,0.0,361,361,0.0
2019-09-05 01:30,0.07817832335850848,0.12281249844514293,0.06120977127745798,0.09102267328675902,3.0,0.0,361,361,0.0
2019-09-05 01:35,0.07339068833120913,0.1179488337591661,0.057950012074185556,0.08668440297885913,3.0,0.0,361,361,0.0
2019-09-05 01:40,0.0690156804525115,0.11301583237501732,0.05495342456224297,0.08263986539452692,3.0,0.0,361,361,0.0
2019-09-05 01:45,0.06501881307816709,0.10809846715383348,0.0521929385851971,0.07886549536519981,3.0,0.0,361,361,0.0
2019-09-05 01:50,0.0613650505493759,0.10326335287433992,0.04964474151806977,0.07533964913580618,3.0,0.0,361,361,0.0
2019-09-05 01:55,0.05802073109069287,0.09856061696389487,0.04728783862193641,0.07204254089075447,3.0,0.0,361,361,0.0
2019-09-05 02:00,0.054954569236729985,0.0940261838041752,0.04510368021410331,0.06895612258213187,3.0,0.0,361,361,0.0
2019-09-05 02:05,0.052138082697268995,0.08968413825778614,0.04307584340344731,0.06606394191052598,3.0,0.0,361,361,0.0
2019-09-05 02:10,0.04954567587588979,0.08554897421984672,0.04118975909687189,0.06335099759326678,3.0,0.0,361,361,0.0
2019-09-05 02:15,0.047154530891700484,0.08162762412658253,0.039432477040743805,0.0608036016131741,3.0,0.0,361,361,0.0
2019-09-05 02:20,0.04494440082791043,0.077921222853819,0.03779246310701459,0.058409252671469306,3.0,0.0,361,361,0.0
2019-09-05 02:25,0.042897362573671764,0.0744265955532854,0.0362594240799176,0.05615652205155842,3.0,0.0,361,361,0.0
2019-09-05 02:30,0.040997562502801906,0.07113748089917056,0.034824155986573,0.05403495155536138,3.0,0.0,361,361,0.0
2019-09-05 02:35,0.03923097308836756,0.06804551362174757,0.0334784126315946,0.05203496248117823,3.0,0.0,361,361,0.0
2019-09-05 02:40,0.03758516931617496,0.06514099621138317,0.03221479149530612,0.05014777438905302,3.0,0.0,361,361,0.0
2019-09-05 02:45,0.03604912831446513,0.0624134914447652,0.031026634569729976,0.04836533241636055,3.0,0.0,361,361,0.0
2019-09-05 02:50,0.03461305254597969,0.05985226644983505,0.0299079420560368,0.046680242029885514,3.0,0.0,361,361,0.0
2019-09-05 02:55,0.03326821529005339,0.05744661648713354,0.028853297144540397,0.04508571025799377,3.0,0.0,361,361,0.0
2019-09-05 03:00,0.03200682638885577,0.05518609326449973,0.027857800352528706,0.04357549260072265,3.0,0.0,361,361,0.0
2019-09-05 03:05,0.03082191597619435,0.053060658957610855,0.026917012112897775,0.04214384495072156,3.0,0.0,361,361,0.0
2019-09-05 03:10,0.02970723392454203,0.05106078353258957,0.026026902492999056,0.04078547996930671,3.0,0.0,361,361,0.0
2019-09-05 03:15,0.028657162901483672,0.049177499670265454,0.025183807082723154,0.039495527450474084,3.0,0.0,361,361,0.0
2019-09-05 03:20,0.027666643142078555,0.04740242668404654,0.02438438822738585,0.03826949827492982,3.0,0.0,361,361,0.0
2019-09-05 03:25,0.026731107274621014,0.04572777234355693,0.023625600897705563,0.03710325161002313,3.0,0.0,361,361,0.0
2019-09-05 03:30,0.025846423760533453,0.044146319457423394,0.022904662588890675,0.03599296505361418,3.0,0.0,361,361,0.0
