time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int
2019-09-05 00:00,0.0,0.0,3.75,0,210,256,0.019991999999999992
2019-09-05 01:00,0.11752198715929169,0.14377886408548787,2.25,0.0,156,190,0.019991999999999992
2019-09-05 02:00,0.07954491514867587,0.093959485363228,2.25,0.0,102,124,0.019991999999999992
2019-09-05 03:00,0.03515997970955618,0.05520336562734746,2.25,0.0,48,58,0.019991999999999992
2019-09-05 04:00,0.023346929376516,0.0369417993584741,2.25,0.3090599999999999,0,0,0.01263913043478261
2019-09-05 05:00,0.022793068672934,0.03251738899538461,2.25,0.29069999999999996,31,37,0.0434608695652174
2019-09-05 06:00,0.042301427968605476,0.03971742673290809,2.25,0.9996000000000005,361,361,0.0
2019-09-05 07:00,0.064187440896488,0.037365155996823815,2.25,0.0,361,361,0.0
2019-09-05 08:00,0.0706376972509676,0.03505746014012508,2.25,0.0,361,361,0.0
2019-09-05 09:00,0.07231085360359983,0.033506494457158906,2.25,0.0,361,361,0.0
2019-09-05 10:00,0.07165885331974688,0.03243677086947697,2.25,0.0,361,361,0.0
2019-09-05 11:00,0.06972710523914122,0.03165948489321272,2.25,0.0,361,361,0.0
2019-09-05 12:00,0.06708425289901607,0.031051997449577654,2.25,0.0,361,361,0.0
2019-09-05 13:00,0.0640825270810055,0.03053848216583801,2.25,0.0,361,361,0.0
2019-09-05 14:00,0.060953167011087904,0.030074520773758325,2.25,0.0,361,361,0.0
2019-09-05 15:00,0.057847748199622774,0.029635697354917664,2.25,0.0,361,361,0.0
2019-09-05 16:00,0.05485996745261916,0.029209669335360355,2.25,0.0,361,361,0.0
2019-09-05 17:00,0.052040623872882774,0.028790970490252157,2.25,0.0,361,361,0.0
2019-09-05 18:00,0.0494101942398588,0.02837778524493306,2.25,0.0,361,361,0.0
2019-09-05 19:00,0.04696973564711694,0.027970049806330617,2.25,0.0,361,361,0.0
2019-09-05 20:00,0.0447095918276305,0.027568397354395213,2.25,0.0,361,361,0.0
2019-09-05 21:00,0.04261548503971687,0.0271736145028157,2.25,0.0,361,361,0.0
2019-09-05 22:00,0.04067215706778898,0.02678639251390897,2.25,0.0,361,361,0.0
2019-09-05 23:00,0.03886516464663148,0.026407238576136104,2.25,0.0,361,361,0.0
2019-09-06 00:00,0.03718153586001431,0.02603646689595075,2.25,0.0,361,361,0.0
2019-09-06 01:00,0.03560985117387198,0.025674224193939534,2.25,0.0,361,361,0.0
2019-09-06 02:00,0.034140097692691454,0.025320525637271968,2.25,0.0,293,359,0.036968571428571434
2019-09-06 03:00,0.03276346938283324,0.02497528980832971,3.0,0.0,239,293,0.029085818181818202
2019-09-06 04:00,0.018805260457088958,0.024653409537199907,2.25,0.0,185,227,0.029085818181818202
2019-09-06 05:00,0.02928672577158,0.024319641167622755,2.25,0.0,131,161,0.029085818181818202
2019-09-06 06:00,0.029007428513766854,0.02399030920609408,2.25,0.0,77,95,0.029085818181818202
2019-09-06 07:00,0.028026482503597835,0.023672825480602813,2.25,0.0,23,29,0.029085818181818202
2019-09-06 08:00,0.07103965740215384,0.0407361326084797,2.25,1.2821399999999996,0,0,0.01512285714285714
2019-09-06 09:00,0.12856382460751012,0.047058706337430485,3.0,0.3175799999999973,133,163,0.030779999999999974
2019-09-06 10:00,0.03751470088502346,0.048293488511398475,3.75,0.0,79,97,0.030779999999999974
2019-09-06 11:00,0.03953071042112971,0.05017138132879374,2.25,0.0,25,31,0.030779999999999974
2019-09-06 12:00,0.130269956647413,0.0633250273910848,2.25,0.800279999999999,198,242,0.009780425531914912
2019-09-06 13:00,0.1874218291884079,0.07063853146215494,2.25,0.0,144,176,0.011195522388059733
2019-09-06 14:00,0.22276934545678617,0.06943172842649398,3.0,0.0,90,110,0.010388311688311743
2019-09-06 15:00,0.05215173972195954,0.06836777370399327,3.0,0.0,36,44,0.010388311688311743
2019-09-06 16:00,0.05482267501836778,0.07703744839864587,2.25,0.4457399999999958,0,0,0.009260473933649293
2019-09-06 17:00,0.17425311066052077,0.10290462300610602,3.0,0.5910000000000073,0,0,0.009026225165562918
2019-09-06 18:00,0.06503618648235733,0.12309604981544335,2.25,0.33119999999999905,0,0,0.011338021978021971
2019-09-06 19:00,0.21902554369980964,0.16044505070814308,2.25,0.877379999999996,0,0,0.004980000000000002
2019-09-06 20:00,0.3065843215892107,0.19098620974867328,2.25,0.1543799999999882,361,361,0.0
2019-09-06 21:00,0.36632315553967904,0.20168230451249408,2.25,0.0,361,361,0.0
2019-09-06 22:00,0.4109809919294238,0.20141834310799414,2.25,0.0,361,361,0.0
2019-09-06 23:00,0.44599123557264514,0.1944789174992042,2.25,0.0,361,361,0.0
2019-09-07 00:00,0.47410399274098824,0.18313764402542845,2.25,0.0,361,361,0.0
2019-09-07 01:00,0.49695281800499425,0.16902926081140546,2.25,0.0,361,361,0.0
2019-09-07 02:00,0.5156071091622519,0.15356461928090936,2.25,0.0,361,361,0.0
2019-09-07 03:00,0.5308145922372982,0.13802590739126816,2.25,0.0,361,361,0.0
2019-09-07 04:00,0.5431235281641542,0.12348957863240735,2.25,0.0,361,361,0.0
2019-09-07 05:00,0.5529505857618838,0.11072166626642388,2.25,0.0,361,361,0.0
2019-09-07 06:00,0.5606213749230974,0.10021359874836572,2.25,0.0,361,361,0.0
2019-09-07 07:00,0.5663960587536447,0.091719986925066,2.25,0.0,361,361,0.0
2019-09-07 08:00,0.5704862869828116,0.08470277694872975,2.25,0.0,361,361,0.0
