time,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,orifice_setting1,water_depth_basin2,orifice_setting2
2019-09-05 00:00,0,210,256,0.04090499999999998,0.0,0.0,2.25,2.25
2019-09-05 01:00,0.0,156,190,0.019991999999999992,0.09349104583229301,0.10653432338879333,2.25,2.25
2019-09-05 02:00,0.0,102,124,0.019991999999999992,0.06184932960864318,0.09146406247324962,2.25,2.25
2019-09-05 03:00,0.0,48,58,0.019991999999999992,0.033775618719879025,0.05478829692646218,2.25,2.25
2019-09-05 04:00,0.3090599999999999,0,0,0.01263913043478261,0.023211499158504813,0.03644838406740555,3.75,2.25
2019-09-05 05:00,0.29069999999999996,31,37,0.0434608695652174,0.02065190177929226,0.0320147879573379,2.25,2.25
2019-09-05 06:00,0.9996000000000005,241,241,0.0,0.042274282828056786,0.046987944350945984,2.25,2.25
2019-09-05 07:00,0.0,241,241,0.0,0.06416563794170359,0.0682951024862784,3.0,2.25
2019-09-05 08:00,0.0,241,241,0.0,0.024449296468501584,0.07455097666524134,2.25,2.25
2019-09-05 09:00,0.0,241,241,0.0,0.05653307479225831,0.07593241566463044,2.25,2.25
2019-09-05 10:00,0.0,241,241,0.0,0.06352695273333532,0.07491723845298465,2.25,2.25
2019-09-05 11:00,0.0,241,241,0.0,0.06521542690030899,0.07261464126182302,2.25,2.25
2019-09-05 12:00,0.0,241,241,0.0,0.06454451700273145,0.06963957750884303,2.25,2.25
2019-09-05 13:00,0.0,241,241,0.0,0.06266958180445117,0.06636731824341663,2.25,2.25
2019-09-05 14:00,0.0,241,241,0.0,0.060187723630115715,0.0630335031550333,2.25,2.25
2019-09-05 15:00,0.0,241,241,0.0,0.057447220640020946,0.059781950971701456,2.25,2.25
2019-09-05 16:00,0.0,241,241,0.0,0.05465792665693365,0.05669273729691332,2.25,2.25
2019-09-05 17:00,0.0,241,241,0.0,0.0519418356403444,0.05380221703824707,2.25,2.25
2019-09-05 18:00,0.0,241,241,0.0,0.049362672024306234,0.05111876423040194,2.25,2.25
2019-09-05 19:00,0.0,241,241,0.0,0.04694667150565075,0.048634918433106,2.25,2.25
2019-09-05 20:00,0.0,241,241,0.0,0.04469794178392429,0.046335914184989974,2.25,2.25
2019-09-05 21:00,0.0,241,241,0.0,0.042609206151836644,0.04420489774659,2.25,2.25
2019-09-05 22:00,0.0,241,241,0.0,0.04066852423302312,0.04222559163270657,2.25,2.25
2019-09-05 23:00,0.0,241,241,0.0,0.038862936577408205,0.040383327601847596,2.25,2.25
2019-09-06 00:00,0.0,241,241,0.0,0.03718011521031477,0.0386652268026942,2.25,2.25
2019-09-06 01:00,0.0,241,241,0.0,0.03560892435168678,0.03706003533614662,2.25,2.25
2019-09-06 02:00,0.0,241,241,0.0,0.034139484975528045,0.03555787728968441,2.25,3.0
2019-09-06 03:00,0.0,241,241,0.0,0.03276306103524365,0.020524959432786788,2.25,3.0
2019-09-06 04:00,0.0,185,227,0.036968571428571434,0.031471906575890655,0.020236365015972996,3.0,2.25
2019-09-06 05:00,0.0,131,161,0.029085818181818202,0.018570225010107622,0.030500198338564693,2.25,2.25
2019-09-06 06:00,0.0,77,95,0.029085818181818202,0.02832908365372826,0.03028307155230952,2.25,2.25
2019-09-06 07:00,0.0,23,29,0.029085818181818202,0.02796433292289258,0.0292930048338913,2.25,2.25
2019-09-06 08:00,1.2821399999999996,0,0,0.01512285714285714,0.07103477482588672,0.07166401816066624,2.25,2.25
2019-09-06 09:00,0.3175799999999973,133,163,0.030779999999999974,0.12856160165928882,0.12898745458488803,2.25,2.25
2019-09-06 10:00,0.0,79,97,0.030779999999999974,0.15973166044671588,0.16002270681106892,2.25,2.25
2019-09-06 11:00,0.0,25,31,0.030779999999999974,0.1798683987169951,0.1800128097919016,2.25,2.25
2019-09-06 12:00,0.800279999999999,198,242,0.021591428571428574,0.20473125310920012,0.204781669283531,2.25,2.25
2019-09-06 13:00,0.0,144,176,0.012844444444444459,0.23916516345486014,0.23922752961078217,2.25,2.25
2019-09-06 14:00,0.0,90,110,0.009780425531914912,0.26411010089132314,0.2642704414242675,2.25,2.25
2019-09-06 15:00,0.0,36,44,0.011195522388059733,0.2828827359746265,0.2832272053422446,2.25,2.25
2019-09-06 16:00,0.4457399999999958,0,0,0.009260473933649293,0.3002259350204602,0.3008217976233698,2.25,2.25
2019-09-06 17:00,0.5910000000000073,0,0,0.009026225165562918,0.3297208118367412,0.33054168221427566,2.25,2.25
2019-09-06 18:00,0.33119999999999905,0,0,0.011338021978021971,0.36389122944781166,0.36486862499490813,3.0,2.25
2019-09-06 19:00,0.877379999999996,0,0,0.004980000000000002,0.23369884497685223,0.4091980473365647,3.0,2.25
2019-09-06 20:00,0.1543799999999882,241,241,0.0,0.137349787477365,0.45603590052284426,2.25,2.25
2019-09-06 21:00,0.0,241,241,0.0,0.2541701842811671,0.49413764020305667,2.25,2.25
2019-09-06 22:00,0.0,241,241,0.0,0.3207516039610824,0.5249962960745027,2.25,2.25
2019-09-06 23:00,0.0,241,241,0.0,0.3682686954037687,0.5502610146346844,2.25,2.25
2019-09-07 00:00,0.0,241,241,0.0,0.4046788917285199,0.5710463283820642,3.0,2.25
2019-09-07 01:00,0.0,241,241,0.0,0.2626352378739665,0.5881714562468441,2.25,2.25
2019-09-07 02:00,0.0,241,241,0.0,0.3082285162778741,0.6022588353274541,2.25,2.25
2019-09-07 03:00,0.0,241,241,0.0,0.34222195153880575,0.613685717935932,2.25,2.25
2019-09-07 04:00,0.0,241,241,0.0,0.36854969461064924,0.6227842282929307,2.25,2.25
