time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int,overflow_duration_basin1,overflow_duration_basin2
2019-09-10 20:00,1.9999999999999998,1.9999999999999998,2.25,0.47676000000002006,0,0,0.02620819672131149,6.7972222222222225,8.525
2019-09-10 21:00,1.9999999999999998,1.9999999999999998,2.25,1.5736800000000244,0,0,0.05492557377049177,7.7972222222222225,9.525
2019-09-10 22:00,1.9999999999999998,1.9999999999999998,2.25,3.250439999999955,0,0,0.06744139534883721,8.797222222222222,10.525
2019-09-10 23:00,1.9999999999999998,1.9999999999999998,2.25,2.899979999999978,61,61,0.0,9.797222222222222,11.525
2019-09-11 00:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,10.797222222222222,12.525
2019-09-11 01:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,11.797222222222222,13.525
2019-09-11 02:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,12.797222222222222,14.525
2019-09-11 03:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,13.797222222222222,15.525
2019-09-11 04:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,14.797222222222222,16.525
2019-09-11 05:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,15.797222222222222,17.525
2019-09-11 06:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,16.79722222222222,18.525
2019-09-11 07:00,1.9999999999999998,1.9999999999999998,2.25,0.0,61,61,0.0,17.79722222222222,19.525
2019-09-11 08:00,1.9999999999999998,1.9991279705808385,2.25,0.0,61,61,0.0,18.79722222222222,19.930555555555557
2019-09-11 09:00,1.9999999999999998,1.994013473888697,2.25,0.0,61,61,0.0,19.79722222222222,19.930555555555557
2019-09-11 10:00,1.9999999999999998,1.9848507198414114,2.25,0.0,61,61,0.0,20.79722222222222,19.930555555555557
2019-09-11 11:00,1.9999999999999998,1.9721443386816717,3.0,0.0,10,12,0.037333200000000004,21.79722222222222,19.930555555555557
2019-09-11 12:00,1.9496089672329247,1.962211227368313,2.25,1.83329999999998,0,0,0.042084590163934434,21.79722222222222,19.930555555555557
2019-09-11 13:00,1.9927257521864448,1.969035333267632,2.25,2.5171799999999607,0,0,0.01833836065573771,21.79722222222222,19.930555555555557
2019-09-11 14:00,1.9999999999999998,1.987453504607516,3.0,1.1129399999999876,0,0,0.008287868852459022,22.66111111111111,19.930555555555557
2019-09-11 15:00,1.9775063965026958,1.9999999999999998,3.0,0.49787999999996657,0,0,0.006454426229508197,22.663888888888888,20.227777777777778
2019-09-11 16:00,1.9519925257586608,1.9999999999999998,3.0,0.3715199999999186,0,0,0.03334714285714286,22.663888888888888,21.227777777777778
2019-09-11 17:00,1.925966791550776,1.9999999999999998,3.0,0.46685999999998273,61,61,0.0,22.663888888888888,22.227777777777778
2019-09-11 18:00,1.8939657804548187,1.9999999999999998,3.0,0.0,61,61,0.0,22.663888888888888,23.227777777777778
2019-09-11 19:00,1.8561335993291963,1.9999146824191447,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-11 20:00,1.813106670741562,1.9966395304213742,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-11 21:00,1.7653853053549982,1.9890873602697796,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-11 22:00,1.7133575303515163,1.9778065145941652,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-11 23:00,1.6573198401268756,1.9632432150983314,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 00:00,1.5974924405864768,1.9457636467154842,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 01:00,1.5340299644556779,1.9256704795777306,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 02:00,1.4670285928996618,1.903215353995834,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 03:00,1.3965301779108004,1.8786084290938598,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 04:00,1.3225236556760176,1.852025766111497,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 05:00,1.2449437681435087,1.8236150905942379,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 06:00,1.1636668304987903,1.793500322710841,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 07:00,1.0785029573750644,1.7617851574037708,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 08:00,0.989183760196435,1.7285558999039186,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 09:00,0.895344077109776,1.6938837067398045,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 10:00,0.7964960879420508,1.6578263404244635,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 11:00,0.6919957035974658,1.6204295117876082,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 12:00,0.5810116454477077,1.581727851575404,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 13:00,0.4625651825766272,1.541745513408109,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 14:00,0.3360540124274752,1.5004963437390215,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 15:00,0.20531337765358373,1.4579834191052088,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 16:00,0.10752366141080806,1.4141977650874133,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 17:00,0.10336983223060614,1.3691206846448316,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 18:00,0.10023078377352024,1.3227419992524434,3.0,0.0,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 19:00,0.09736908666976554,1.2750496484469303,2.25,0.0,18,22,0.01910926829268292,22.663888888888888,24.041666666666668
2019-09-12 20:00,0.1986880097655921,1.2287976485111003,3.0,0.7755000000000578,0,0,0.00798,22.663888888888888,24.041666666666668
2019-09-12 21:00,0.10755829171362484,1.184487048165646,3.0,0.023940000000010286,61,61,0.0,22.663888888888888,24.041666666666668
2019-09-12 22:00,0.10027947448872791,1.1386875970765242,2.25,0.0,6,8,0.0071188888888888795,22.663888888888888,24.041666666666668
2019-09-12 23:00,0.21230151747089548,1.0935550233131293,2.25,0.3809400000001588,0,0,0.006585454545454547,22.663888888888888,24.041666666666668
2019-09-13 00:00,0.28031212112821996,1.0493669875896594,3.0,0.21732000000002216,61,61,0.0,22.663888888888888,24.041666666666668
