time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int
2019-09-09 21:00,0.03184544156316921,0.038926741029397735,3.75,0.2037600000000035,0,0,0.013110000000000004
2019-09-09 22:00,0.034934773172797896,0.042815446047774895,2.25,0.2097599999999975,107,131,0.03719280991735531
2019-09-09 23:00,0.08175366023665825,0.043587564694369245,2.25,0.0,53,65,0.0463591390728477
2019-09-10 00:00,0.09788518088357206,0.04449090294824406,2.25,0.19998000000000005,0,0,0.04771545706371196
2019-09-10 01:00,0.1590530855146403,0.07963900707574596,2.25,1.8333599999999999,0,0,0.05069468144044329
2019-09-10 02:00,0.2673013473944268,0.15837115067322502,3.75,1.5667800000000245,0,0,0.06759124653739618
2019-09-10 03:00,0.10818141855290014,0.2392928573397035,2.25,2.199840000000025,0,0,0.06671185595567873
2019-09-10 04:00,0.42486486470202806,0.4108781805224215,3.75,3.175680000000005,0,0,0.06112637119113577
2019-09-10 05:00,0.459100955231383,0.6093603922495504,3.0,4.824839999999988,0,0,0.05125180055401662
2019-09-10 06:00,0.7142545655412271,0.861022530668813,2.25,3.5997599999999963,0,0,0.04225445983379502
2019-09-10 07:00,0.9954473996387435,1.060528358731249,3.0,2.8672199999999535,0,0,0.03591722991689745
2019-09-10 08:00,1.2300788730781422,1.3263115549245592,2.25,7.633079999999936,0,0,0.018487811634348983
2019-09-10 09:00,1.5433465436482174,1.5836188782161127,2.25,1.9732799999999457,0,0,0.01814110803324099
2019-09-10 10:00,1.7773722251416966,1.776456475503167,3.75,1.1284199999999274,0,0,0.01742459833795011
2019-09-10 11:00,1.8360366209061483,1.935978179222732,2.25,1.2924599999999486,0,0,0.014949806094182871
2019-09-10 12:00,1.9999999999999998,1.9999999999999998,3.75,0.35591999999995494,0,0,0.01579013850415517
2019-09-10 13:00,1.9983074631755195,1.9999999999999998,3.75,0.566280000000134,0,0,0.01693352941176478
2019-09-10 14:00,1.9908030875208775,1.9999999999999998,3.75,1.3327200000000232,0,0,0.01564609756097569
2019-09-10 15:00,1.9841927302921492,1.9999999999999998,3.0,1.8509399999999516,0,0,0.01074193548387099
2019-09-10 16:00,1.9999999999999998,1.9999999999999998,3.75,0.8885399999998711,0,0,0.008805238095238109
2019-09-10 17:00,1.977909452230048,1.9999999999999998,3.75,0.39581999999990813,0,0,0.010812727272727276
2019-09-10 18:00,1.9460194148273604,1.9999999999999998,3.75,0.6563999999999908,0,0,0.00954
2019-09-10 19:00,1.9033581267213042,1.9999999999999998,3.75,0.057239999999993074,22,28,0.041418484848484816
2019-09-10 20:00,1.849767574460122,1.9999999999999998,3.75,0.47676000000002006,0,0,0.04738711656441716
2019-09-10 21:00,1.795285903745803,1.9999999999999998,3.75,1.5736800000000244,0,0,0.05971281553398054
2019-09-10 22:00,1.7546464139371016,1.9999999999999998,3.0,3.250439999999955,0,0,0.06744139534883721
2019-09-10 23:00,1.8221297892461021,1.9999999999999998,2.25,2.899979999999978,361,361,0.0
2019-09-11 00:00,1.94765816273055,1.9999999999999998,2.25,0.0,361,361,0.0
2019-09-11 01:00,1.9999999999999998,1.9999999999999998,3.75,0.0,361,361,0.0
2019-09-11 02:00,1.9488231287719384,1.9999999999999998,2.25,0.0,361,361,0.0
2019-09-11 03:00,1.9999999999999998,1.9999999999999998,3.75,0.0,361,361,0.0
2019-09-11 04:00,1.9259916174872247,1.9999999999999998,2.25,0.0,361,361,0.0
2019-09-11 05:00,1.9819069911386173,1.9999999999999998,2.25,0.0,361,361,0.0
2019-09-11 06:00,1.9999999999999998,1.9999999999999998,3.75,0.0,280,342,0.037333200000000004
2019-09-11 07:00,1.9028771438589176,1.9999999999999998,3.0,0.0,226,276,0.04000418181818185
2019-09-11 08:00,1.8629080908106452,1.999217696058683,2.25,0.0,172,210,0.0321712941176471
2019-09-11 09:00,1.8963409735114927,1.9941964784355803,3.0,0.0,118,144,0.02595208695652176
2019-09-11 10:00,1.8469722148595606,1.9850947365721316,2.25,0.0,64,78,0.021913862068965537
2019-09-11 11:00,1.8726253566192612,1.97245966445447,3.0,0.0,10,12,0.022441188118811902
2019-09-11 12:00,1.8221325838504119,1.9625417395249245,3.0,1.83329999999998,0,0,0.01955267716535436
2019-09-11 13:00,1.7898991738571264,1.9694016650267696,2.25,2.5171799999999607,0,0,0.01262474226804126
2019-09-11 14:00,1.8500514711421736,1.9878802521229315,2.25,1.1129399999999876,0,0,0.009972089552238798
2019-09-11 15:00,1.9075064329276683,1.9999999999999998,2.25,0.49787999999996657,0,0,0.011329459459459451
2019-09-11 16:00,1.9597252124133222,1.9999999999999998,3.0,0.3715199999999186,0,0,0.03334714285714286
2019-09-11 17:00,1.9336154755376909,1.9999999999999998,2.25,0.46685999999998273,361,361,0.0
2019-09-11 18:00,1.978140015349661,1.9999999999999998,2.25,0.0,361,361,0.0
2019-09-11 19:00,1.9999999999999998,1.9998912055641764,3.75,0.0,361,361,0.0
2019-09-11 20:00,1.8938836836848443,1.9965681967845539,2.25,0.0,361,361,0.0
2019-09-11 21:00,1.923968311530009,1.9890153967449697,2.25,0.0,361,361,0.0
2019-09-11 22:00,1.9498038574638337,1.9776402542099156,2.25,0.0,361,361,0.0
2019-09-11 23:00,1.9718631483860123,1.9629534004130944,2.25,0.0,361,361,0.0
2019-09-12 00:00,1.9906746165361946,1.9453438269336218,2.25,0.0,361,361,0.0
2019-09-12 01:00,1.9999999999999998,1.925118590613269,3.75,0.0,361,361,0.0
2019-09-12 02:00,1.8732875432738174,1.9026110142746493,2.25,0.0,361,361,0.0
2019-09-12 03:00,1.8859328006058023,1.8780185916250116,2.25,0.0,361,361,0.0
2019-09-12 04:00,1.896668368595739,1.851348572679817,2.25,0.0,361,361,0.0
2019-09-12 05:00,1.9055542217283497,1.8228109496530878,2.25,0.0,361,361,0.0
2019-09-12 06:00,1.912795480032133,1.7925588197973563,2.25,0.0,361,361,0.0
2019-09-12 07:00,1.9185653423874376,1.7607033477147218,2.25,0.0,361,361,0.0
2019-09-12 08:00,1.9230126254962312,1.7273327600147097,2.25,0.0,361,361,0.0
2019-09-12 09:00,1.9262661988014163,1.6925190410080337,2.25,0.0,361,361,0.0
2019-09-12 10:00,1.928438275288087,1.6563207422640407,2.25,0.0,361,361,0.0
2019-09-12 11:00,1.9296270283260935,1.6187846262692829,2.25,0.0,361,361,0.0
2019-09-12 12:00,1.9299187190608806,1.5799468264967989,2.25,0.0,361,361,0.0
2019-09-12 13:00,1.9293894441382036,1.5398337033973177,2.25,0.0,361,361,0.0
2019-09-12 14:00,1.928106582224622,1.4984624572811278,2.25,0.0,288,352,0.01910926829268292
2019-09-12 15:00,1.9261299988698348,1.455841525847489,2.25,0.0,234,286,0.018591627906976736
2019-09-12 16:00,1.9235130559057858,1.4119707795301455,2.25,0.0,180,220,0.018591627906976736
2019-09-12 17:00,1.920303461639685,1.366841517294704,2.25,0.0,126,154,0.018591627906976736
2019-09-12 18:00,1.9165439905452055,1.3204362554166182,2.25,0.0,72,88,0.018591627906976736
