timestamp,my-m/sec
06-Sep-2023 13:41:00,0
06-Sep-2023 13:42:00,0
06-Sep-2023 13:43:00,0
06-Sep-2023 13:44:00,0.6861
06-Sep-2023 13:45:00,0.6861
06-Sep-2023 13:46:00,0.6861
06-Sep-2023 13:47:00,0.6861
06-Sep-2023 13:48:00,0.6861
06-Sep-2023 13:49:00,0.6861
06-Sep-2023 13:50:00,0.6861
06-Sep-2023 13:51:00,0.6861
06-Sep-2023 13:52:00,0.6861
06-Sep-2023 13:53:00,0.6861
06-Sep-2023 13:54:00,0.196
06-Sep-2023 13:55:00,0.196
06-Sep-2023 13:56:00,0.196
06-Sep-2023 13:57:00,0.196
06-Sep-2023 13:58:00,0.196
06-Sep-2023 13:59:00,0.196
06-Sep-2023 14:00:00,0.196
06-Sep-2023 14:01:00,0.196
06-Sep-2023 14:02:00,0.196
06-Sep-2023 14:03:00,0.196
06-Sep-2023 14:04:00,0.308
06-Sep-2023 14:05:00,0.308
06-Sep-2023 14:06:00,0.308
06-Sep-2023 14:07:00,0.308
06-Sep-2023 14:08:00,0.308
06-Sep-2023 14:09:00,0.308
06-Sep-2023 14:10:00,0.308
06-Sep-2023 14:11:00,0.308
06-Sep-2023 14:12:00,0.308
06-Sep-2023 14:13:00,0.308
06-Sep-2023 14:14:00,0.476
06-Sep-2023 14:15:00,0.476
06-Sep-2023 14:16:00,0.476
06-Sep-2023 14:17:00,0.476
06-Sep-2023 14:18:00,0.476
06-Sep-2023 14:19:00,0.476
06-Sep-2023 14:20:00,0.476
06-Sep-2023 14:21:00,0.476
06-Sep-2023 14:22:00,0.476
06-Sep-2023 14:23:00,0.476
06-Sep-2023 14:24:00,1.8335
06-Sep-2023 14:25:00,1.8335
06-Sep-2023 14:26:00,1.8335
06-Sep-2023 14:27:00,1.8335
06-Sep-2023 14:28:00,1.8335
06-Sep-2023 14:29:00,1.8335
06-Sep-2023 14:30:00,1.8335
06-Sep-2023 14:31:00,1.8335
06-Sep-2023 14:32:00,1.8335
06-Sep-2023 14:33:00,1.8335
06-Sep-2023 14:34:00,0.5
06-Sep-2023 14:35:00,0.5
06-Sep-2023 14:36:00,0.5
06-Sep-2023 14:37:00,0.5
06-Sep-2023 14:38:00,0.5
06-Sep-2023 14:39:00,0.5
06-Sep-2023 14:40:00,0.5
06-Sep-2023 14:41:00,0.5
06-Sep-2023 14:42:00,0.5
06-Sep-2023 14:43:00,0.5
06-Sep-2023 14:44:00,0.75
06-Sep-2023 14:45:00,0.75
06-Sep-2023 14:46:00,0.75
06-Sep-2023 14:47:00,0.75
06-Sep-2023 14:48:00,0.75
06-Sep-2023 14:49:00,0.75
06-Sep-2023 14:50:00,0.75
06-Sep-2023 14:51:00,0.75
06-Sep-2023 14:52:00,0.75
06-Sep-2023 14:53:00,0.75
06-Sep-2023 14:54:00,1.3332
06-Sep-2023 14:55:00,1.3332
06-Sep-2023 14:56:00,1.3332
06-Sep-2023 14:57:00,1.3332
06-Sep-2023 14:58:00,1.3332
06-Sep-2023 14:59:00,1.3332
06-Sep-2023 15:00:00,1.3332
06-Sep-2023 15:01:00,1.3332
06-Sep-2023 15:02:00,1.3332
06-Sep-2023 15:03:00,1.3332
06-Sep-2023 15:04:00,0.3668
06-Sep-2023 15:05:00,0.3668
06-Sep-2023 15:06:00,0.3668
06-Sep-2023 15:07:00,0.3668
06-Sep-2023 15:08:00,0.3668
06-Sep-2023 15:09:00,0.3668
06-Sep-2023 15:10:00,0.3668
06-Sep-2023 15:11:00,0.3668
06-Sep-2023 15:12:00,0.3668
06-Sep-2023 15:13:00,0.3668
06-Sep-2023 15:14:00,0.167
06-Sep-2023 15:15:00,0.167
06-Sep-2023 15:16:00,0.167
06-Sep-2023 15:17:00,0.167
06-Sep-2023 15:18:00,0.167
06-Sep-2023 15:19:00,0.167
06-Sep-2023 15:20:00,0.167
06-Sep-2023 15:21:00,0.167
06-Sep-2023 15:22:00,0.167
06-Sep-2023 15:23:00,0.167
06-Sep-2023 15:24:00,0.517
06-Sep-2023 15:25:00,0.517
06-Sep-2023 15:26:00,0.517
06-Sep-2023 15:27:00,0.517
06-Sep-2023 15:28:00,0.517
06-Sep-2023 15:29:00,0.517
06-Sep-2023 15:30:00,0.517
06-Sep-2023 15:31:00,0.517
06-Sep-2023 15:32:00,0.517
06-Sep-2023 15:33:00,0.517
06-Sep-2023 15:34:00,0.5333
06-Sep-2023 15:35:00,0.5333
06-Sep-2023 15:36:00,0.5333
06-Sep-2023 15:37:00,0.5333
06-Sep-2023 15:38:00,0.5333
06-Sep-2023 15:39:00,0.5333
06-Sep-2023 15:40:00,0.5333
